,Title,published_date,views,likes,comments,Month
0,AI: A Customer Service Revolution?,2023-05-26,2451,88,24,May
1,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,10777,474,49,May
2,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,20506,907,59,May
3,This AI question will determine our future,2023-04-06,3936,252,37,Apr
4,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,69208,780,77,Apr
5,Your current portfolio is actually hurting you #shorts,2023-03-30,4232,240,2,Mar
6,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,4576,248,3,Mar
7,you're job searching wrong. #shorts,2023-03-23,3260,198,3,Mar
8,The Economics of Data Roles #shorts,2023-03-21,5118,334,5,Mar
9,Why your phone knows everything you say #shorts,2023-03-18,2459,114,8,Mar
10,Read these for a successful career. #shorts,2023-03-16,2513,206,2,Mar
11,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2263,44,5,Mar
12,How I Realized I Was a Bad Manager #shorts,2023-03-07,2398,114,1,Mar
13,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,18043,691,52,Mar
14,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,5894,202,8,Mar
15,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2222,147,2,Feb
16,Learning On the companies dime #shorts,2023-02-24,2806,160,1,Feb
17,The Best Way to Transition to Data Science? #shorts,2023-02-21,3346,225,6,Feb
18,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,5221,308,6,Feb
19,Don't Go into Data for the Money #shorts,2023-02-15,3443,207,12,Feb
20,So you're doing your first data science project...,2023-02-13,4954,297,22,Feb
21,How to Approach Applying for a Data Role #shorts,2023-02-08,3500,233,7,Feb
22,The Hard Reality of Data Science Work #shorts,2023-02-06,9077,596,9,Feb
23,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4048,166,6,Feb
24,These 3 Things Make Data Science Special #shorts,2023-02-01,3869,293,6,Feb
25,Will Data Science Be Automated? #shorts,2023-01-27,6458,318,7,Jan
26,Is Data Science A Good Fit For You? #shorts,2023-01-25,4645,270,9,Jan
